"id_escola","nomefantasia"
"1","Colibri Athenas - Colégio e Curso (Inf/FundI e FundII"
"2","Colibri Athenas - Colégio e Curso (Médio)"
"3","Academia de Comécio Epitácio Pessoa"
"5","Instituto Moderno"
"6","Colégio Kairós Altiplano"
"7","Colégio Fênix"
"8","Logon Informática"
"9","Kairós Epitácio"
"13","Colégio Kairós Miramar"
"14","Pedro Calmon"
"15","Colégio LIDERA"
"16","QI Intermares"
"17","IPI - Instituto Paraibano Infanto Juvenil LTDA"
"18","VIP COLÉGIO QI SUL"
"19","CEMES - Complexo Educacional Moderno El Shaday"
"21","Escola Mar e Sol"
"23","Escola Teste"
"24","Escola Demonstração"
"25","Colegio Intensivo - Unidade I - Costa e Silva"
"26","Colegio Intensivo - Unidade II - Cruz das Armas"
"27","Colegio Intensivo - Unidade III - Bayeux"
"28","Colégio Master Bessa"
"30","Sistema Educacional Aprender"
"31","Escola Corujinha"
"32","Colégio ETHOS"
"33","Space Kids Berçário Escola"
"34","ISD - Colégio e Curso"
"35","Invictus Colégio e Curso"
"36","Centro Educacional Presbiteriano"
"38","Externato Dom Pedro II"
"39","Centro Educacional Uriel"
"40","Instituto Educacional Ágape - Unidade I"
"41","Instituto Educacional Ágape - Unidade II"
"42","Colégio Decisão"
"44","Escola Construir Bessa - Unidade I"
"48","Colégio 2001 - Recife"
"49","Colégio 2001 - Olinda"
"50","Colégio 2001 - Jardim São Paulo"
"51","Colégio 2001 - Pernambucano"
"52","João Machado Colégio e Curso - Jaguaribe"
"53","João Machado Colégio e Curso - Bessa"
"54","Educandário Nossa Senhora Aparecida"
"55","CETA - Centro Educacional Tempo de Aprender"
"56","Escola Liderança"
"57","CINTEP - Centro Integrado de Tecnologia e Pesquisa Avançada Ltda"
"58","Educandário Brasil"
"61","Saber Instituto Educacional"
"64","Colégio Apoio Ltda"
"66","Madre Tereza Colégio e Cursos"
"67","CA +"
"68","Colégio Geração"
"69","Instituto Nossa Senhora de Fátima"
"74","Colégio Master Bairro dos Estados"
"75","Colégio Santo Antônio"
"77","Instituto Educacional Fênix"
"78","Colégio Técnico Dom Vital"
"79","CEAD"
"80","CETAD"
"82","Recanto Educacional Evangélico Infantil"
"83","Colégio QI - Questão de Inteligência"
"84","Instituto Educacional Dominique"
"85","VIP COLÉGIO QI KIDS"
"87","Instituto Educacional Josino Gomes - IEJG"
"88","Colégio INA LTDA"
"89","Centro de Educação Líder Mais"
"90","Centro Educacional Educação Ativa"
"91","Colégio Santa Rita"
"93","CET - Centro Educacional Talentus"
"94","Educandário Juscelino Kubitschek de Oliveira"
"96","Centro Educacional e Aperfeiçoamento de Catolé"
"98","Escola Vitória-Régia Ltda"
"101","Colégio ETHOS - Educação Infantil"
"102","Colégio Geração - Unid Conde"
"103","Enerpro, Cursos e Treinamentos"
"104","Escola Helena de Andrade"
"105","Colégio Objetivo Esperança"
"106","Escola Flor de Lis"
